threshold,accuracy,balanced_accuracy,precision,recall,f1
0.1,0.22822222222222222,0.5585147342899511,0.12739174219536759,0.98635477582846,0.22564102564102564
0.15,0.31244444444444447,0.592456184353535,0.13760179724796406,0.9551656920077972,0.24054982817869416
0.2,0.39244444444444443,0.6350551573315029,0.15242566510172145,0.949317738791423,0.2626752966558792
0.25,0.45111111111111113,0.6579717414931862,0.16339869281045752,0.9259259259259259,0.2777777777777778
0.3,0.5093333333333333,0.6712957462630742,0.17391304347826086,0.8810916179337231,0.29048843187660667
0.35,0.5664444444444444,0.67210319503298,0.18298059964726632,0.8089668615984406,0.29845379359942464
0.4,0.6168888888888889,0.6818871859860336,0.19679519278918378,0.7660818713450293,0.31314741035856575
0.45,0.6551111111111111,0.6728842422082294,0.20365088419851682,0.695906432748538,0.31509267431597526
0.5,0.6975555555555556,0.667113293642936,0.2158176943699732,0.6276803118908382,0.32119700748129676
0.55,0.7395555555555555,0.6542975195701821,0.22925225965488907,0.543859649122807,0.3225433526011561
0.6,0.7922222222222223,0.6381595448365082,0.2580275229357798,0.43859649122807015,0.3249097472924188
0.65,0.8415555555555555,0.6023061792932294,0.3,0.29239766081871343,0.29615004935834155
0.7,0.8673333333333333,0.5633506263778332,0.3372093023255814,0.1695906432748538,0.22568093385214008
0.75,0.88,0.5297347959816773,0.37142857142857144,0.07602339181286549,0.1262135922330097
0.8,0.884,0.5073638447762245,0.3448275862068966,0.01949317738791423,0.03690036900369004
0.85,0.8857777777777778,0.5015730950149389,0.4,0.003898635477582846,0.007722007722007722
0.9,0.886,0.5,0.0,0.0,0.0
